base,visibility,dt,timezone,id,name,cod,rain,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,speed,deg,gust,type,id.1,country,sunrise,sunset,0,all
stations,10000,1603118925,3600,2636638,Stromness,200,,-3.3,58.97,50.0,43.97,50.0,50.0,1004.0,87.0,,,9.17,100.0,,1.0,1437.0,GB,1603090820,1603126533,"{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}",75
stations,5000,1603118925,-10800,3833367,Ushuaia,200,,-68.3,-54.8,35.6,11.8,35.6,35.6,987.0,100.0,,,36.91,230.0,,1.0,8303.0,AR,1603098760,1603149789,"{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}",90
stations,10000,1603118925,39600,2155415,New Norfolk,200,,147.06,-42.78,44.29,40.17,44.01,45.0,1016.0,76.0,,,2.46,287.0,,3.0,2031307.0,AU,1603134767,1603183200,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",63
stations,10000,1603118926,-36000,5848280,Kapaa,200,,-159.32,22.08,73.0,73.65,73.0,73.0,1011.0,76.0,,,8.23,223.0,,1.0,7873.0,US,1603125312,1603166921,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",2
stations,10000,1603118751,46800,2208248,Kaitangata,200,,169.85,-46.28,46.0,42.39,46.0,46.0,990.0,84.0,,,3.0,270.0,3.0,3.0,2031989.0,NZ,1603128978,1603178051,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",39
stations,10000,1603118926,-10800,3874787,Punta Arenas,200,,-70.92,-53.15,42.4,19.62,42.01,42.8,995.0,70.0,,,34.45,270.0,46.08,1.0,8487.0,CL,1603099616,1603150190,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",40
stations,10000,1603118926,0,3370903,Jamestown,200,,-5.72,-15.94,61.68,53.51,61.68,61.68,1016.0,98.0,1016.0,969.0,21.07,117.0,,,,SH,1603086743,1603131771,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",71
stations,10000,1603118927,-21600,3652764,Puerto Ayora,200,,-90.35,-0.74,71.01,70.56,71.01,71.01,1013.0,88.0,,,11.99,204.0,18.99,3.0,2005652.0,EC,1603107731,1603151400,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",100
stations,10000,1603118927,7200,204953,Tshikapa,200,{'1h': 0.37},20.8,-6.42,88.07,96.37,88.07,88.07,1004.0,61.0,1004.0,955.0,1.52,281.0,,,,CD,1603080813,1603124973,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",20
stations,10000,1603118737,43200,2110227,Butaritari,200,,172.79,3.07,81.73,84.02,81.73,81.73,1007.0,73.0,1007.0,1007.0,11.54,100.0,,,,KI,1603131141,1603174478,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",100
